problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected
dibstudent03--2016-09-25--15-56.log-18,-0.2634135673,-0.3753098313,-0.7047755645,-0.488242589,-0.197114429,0.4895152056,1.0632520095,0.3836214381,-0.504316174,-0.190767135,-0.5546330887,0.9372741394,1.3413175001,-0.1444585767,-0.1465924381,-0.2836421386,-0.8412725695,0.956849521,-0.4277139585,1
dibstudent03--2016-09-25--15-56.log-19,-0.4989636035,-0.3753098313,-0.7047755645,-0.488242589,-0.2309180707,0.4895152056,1.0632520095,1.0374106695,-0.4341596016,-0.190767135,-0.4905181216,0.9372741394,1.3413175001,-0.1444585767,-0.1405454272,-0.2836421386,-0.8412725695,0.956849521,-0.3786126327,1
dibstudent03--2016-09-25--15-56.log-2,-0.0278635311,-0.3753098313,2.7626768088,-0.488242589,-0.4487180324,-0.4127776659,-1.2843878567,-0.0596894125,-0.6892694138,-0.2106044981,-1.5804725619,-1.1869082721,2.3207546189,0.2078230641,-0.1409485612,-0.2836421386,-0.8412725695,-1.1503836119,-1.2133351713,0
dibstudent03--2016-09-25--15-56.log-20,-0.7345136397,-0.3753098313,-0.2094252255,-0.488242589,-0.2828172015,0.8432997999,2.2370719425,0.1632632136,-0.30727997,-0.170929772,-0.4264031545,0.2292133355,0.0354013416,0.1766476977,-0.1405454272,-0.2836421386,-0.8412725695,0.956849521,-0.3295113069,1
dibstudent03--2016-09-25--15-56.log-21,-0.2634135673,-0.3753098313,0.2859251136,-0.488242589,-0.2914421582,0.9210111323,2.2370719425,-0.3740946991,-0.2556895207,0.0274438583,-0.3622881875,-1.1869082721,0.0354013416,3.2491034168,0.0295771469,0.7085619708,0.1428393326,-1.1503836119,-0.2804099811,1
dibstudent03--2016-09-25--15-56.log-22,-0.4989636035,-0.3753098313,-0.7047755645,-0.488242589,-0.2817458365,0.9210111323,2.2370719425,-0.1966195215,-0.2508644487,0.0274438583,-0.2981732204,0.9372741394,0.0354013416,-0.1444585767,-0.0147675999,0.7085619708,0.1428393326,0.956849521,-0.2313086553,1
dibstudent03--2016-09-25--15-56.log-23,-0.7345136397,-0.3753098313,-0.7047755645,-0.488242589,-0.2780824429,0.9210111323,2.2370719425,-0.4047297565,-0.231049853,0.0274438583,-0.2340582533,0.9372741394,0.0354013416,-0.1444585767,-0.1405454272,0.7085619708,0.1428393326,0.956849521,-0.1822073295,1
dibstudent03--2016-09-25--15-56.log-24,-0.4989636035,-0.3753098313,0.2859251136,-0.488242589,-0.267600307,0.8432997999,2.2370719425,-0.0120851579,-0.2292909984,-0.170929772,-0.1699432862,-1.1869082721,0.0354013416,-0.1444585767,-0.1405454272,-0.2836421386,-0.8412725695,-1.1503836119,-0.1331060037,0
dibstudent03--2016-09-25--15-56.log-25,-0.7345136397,-0.3753098313,-0.2094252255,-0.488242589,-0.2705729018,0.4895152056,1.0632520095,-0.3804600335,-0.1934870538,-0.190767135,-0.1058283192,0.9372741394,0.6883594209,-0.1444585767,-0.1469955721,-0.2836421386,-0.8412725695,0.2544384767,-0.0840046779,0
dibstudent03--2016-09-25--15-56.log-26,-0.4989636035,-0.3753098313,0.2859251136,-0.488242589,-0.2614577429,0.8300084127,1.0632520095,-0.3516953587,-0.1896225468,-0.0320682308,-0.0417133521,-1.1869082721,0.0354013416,-0.1444585767,-0.1405454272,0.7085619708,0.1428393326,-1.1503836119,-0.0349033521,0
